"param","label","description","mean","sd","ci_025","ci_975","ESS"
"m1","m₁","Drift moyen taux",-0.10246880284909,0.0272026560454523,-0.157789525874741,-0.0526977998140117,40.9805442332359
"d1","d₁","Vitesse mean-rev. taux",0.0355195909564035,0.0177164699881896,0.0146576247764907,0.0827271200295614,6.12195965828118
"m2","m₂","Drift moyen mort.",-4.11796919299171,0.326404150608488,-4.62546158523132,-3.39981393949756,3.61186154403597
"d2","d₂","Vitesse mean-rev. mort.",19.0021827913136,2.03857683706831,14.6302949385282,23.0094552956988,43.8512204165045
"sigma1","σ₁","Diffusion taux",0.00874287546784292,0.00167426268916129,0.00615323944807109,0.0128405338634965,4.20830004295008
"sigma2","σ₂","Diffusion mort.",0.0534404504715545,0.0116605958827711,0.0325928736077411,0.0722804119463384,2.56157813376582
"rho1","ρ₁","Corrélation brownienne",-0.399660923004831,0.316232517560096,-0.895298266779138,0.220607740853472,7.80799686281376
"lambda","λ","Fréquence sauts",6.32487129360115,1.20019717552817,4.4401751182114,8.69690557877841,17.4218956597394
"v1","ν₁","Saut moyen taux",0.0363962577223483,0.00282272841837384,0.031293335929385,0.0419508182534679,45.2562484396138
"v2","ν₂","Saut moyen mort.",0.794249673179558,0.0800327949218328,0.653614457386204,0.953522961952246,11.9685552469018
"phi1","φ₁","Std saut taux",0.0307775837853442,0.00164167242719398,0.0281546304473224,0.0343106015313314,8.96710614429357
"phi2","φ₂","Std saut mort.",0.577465707878115,0.0587877558995001,0.46604405775162,0.69206901127509,17.3797023050392
"rho2","ρ₂","Corr. sauts",-0.973202572354631,0.00945303902083009,-0.985529478156509,-0.950487087382605,12.2614709637136
