"param","mean","sd","ci_025","ci_975","ESS"
"m1",-0.0142386715581058,0.00582437510567456,-0.0258556023001055,-0.00219382548188562,81.9229823927403
"d1",0.0453662523770611,0.00951141254103267,0.0304860204184077,0.0683256841307539,10.7673554405811
"m2",-1.51211560950136,0.22887208461864,-1.92112657074455,-0.952876653186869,5.10469787966849
"d2",18.1242983757217,1.97241809119419,13.9871607704669,22.7232142577199,39.1969691647813
"sigma1",0.0109581740755186,0.00344620120812771,0.00628218814460187,0.0179304069621363,2.6130021745232
"sigma2",0.049169118686593,0.00369268970355171,0.0425164227312006,0.0553592647544639,7.25236591056827
"rho1",-0.000523800775610795,0.432964243841268,-0.738758383444803,0.707427487455408,14.9568511720314
"lambda",0.214697592488933,0.112821603024974,0.0386358512132962,0.445026606118738,9.75586587946089
"v1",0.029154873753307,0.00649292794949963,0.0212366293197154,0.0440640069431397,2.17290699993939
"v2",1.57319455038961,0.218464689206803,1.2338297406037,2.08108432556006,4.57210044926821
"phi1",0.023254675610839,0.00498472296690796,0.0186104878322682,0.0350874060392318,1.86719770658608
"phi2",1.17121051619719,0.254648976024471,0.863514273867145,1.80639326968728,3.6646239350766
"rho2",-0.919629948353227,0.0451910724788428,-0.960462738973744,-0.756981503569932,8.53221348865952
